Cust_RefID,Cust_FirstName,Cust_LastName,Cust_PhoneNo,Cust_EmailAddress,Cust_EmailDomain,Cust_StreetAddress,Cust_Zip,Cust_AddressCity,Cust_AddressState,Cust_AddressStateISO,Cust_AddressCountry,Cust_Acct_IBAN,Cust_EstablishedIP,UserSessionInputIP,UserTrueIP,UserIP_Blacklist,TrueIP_Blacklist,True IP City,Device_ID,Device_Manufacturer,VirtualMachineSession,ISP,ISP City,Connection Type,UserAgent,UA_OS,Page activity time,FinalScore
482W4899U59455CW,Jane,Gamble,1-227-818-0578,Jane.Gamble@tutanota.com,tutanota.com,Ap #372-6924 Egestas Rd.,34719,Laramie,Wyoming,WY,US,US85279548826038545321,163.17.126.36,163.17.126.36,163.17.126.36,,,Laramie,21f9d57b6aa3f8822dda81d20ea8e6a3,,,"Hughes Network Systems, LLC",Laramie,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux i651 ; en-US) AppleWebKit/603.12 (KHTML, like Gecko) Chrome/51.0.2665.169 Safari/536",chrome,117000,86
663A1391K81003QB,Pandora,Moran,1-427-364-7165,Pandora_Moran@pm.com,pm.com,Ap #168-5423 Lorem Rd.,26326,Springfield,Massachusetts,MA,US,US80692498750615631182,249.193.182.9,249.193.182.9,249.193.182.9,,,Springfield,f4060d06d389078fb77d1407f93fe244,Apple Inc.,,Westfield Gas + Electric,Springfield,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_3) Gecko/20130401 Firefox/48.5,windows,258000,84
946H5916I24729PP,Dane,Vaughan,1-152-399-6662,Dane1823@titan.email,titan.email,"P.O. Box 808, 5185 Ut Rd.",97796,Vancouver,Washington,WA,US,US6998433736972237302833648311,55.154.125.58,55.154.125.58,55.154.125.58,,,Vancouver,6f5804ee2ae092f6597c78003ed51697,Motorola Mobility LLC,,Computer Link Northwest LLC,Vancouver,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; U; Android 5.1; MOTO G XT1068 Build/LPC23) AppleWebKit/537.10 (KHTML, like Gecko) Chrome/47.0.3414.378 Mobile Safari/534.4",mobile,128000,81
149R2158M53462IP,Kenyon,Mays,1-467-732-4283,Kenyon.Mays@hotmail.com,hotmail.com,Ap #347-1051 Non Rd.,81130,Helena,New York,NY,US,US53000025373660483471814758,94.238.65.25,94.238.65.25,94.238.65.25,,,Helena,94340555f6a6b6b36fafc3c170a7fd7f,Apple Inc.,,Andrena,Helena,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPad; CPU iPad OS 9_1_6 like Mac OS X) AppleWebKit/602.22 (KHTML, like Gecko) Chrome/50.0.2213.176 Mobile Safari/533.7",mobile,102000,96
228Y1523R86812PP,Xander,Trujillo,1-310-564-5483,Xander.Trujillo@titan.email,titan.email,Ap #475-7407 Pellentesque Rd.,24522,Sandy,Utah,UT,US,US1713848166220923866,15.235.219.80,15.235.219.80,15.235.219.80,,,Sandy,1eb970f96153e1109e2d3a1be2250cda,LG Electronics Inc.,,Cellco Partnership,Sandy,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,"Mozilla/5.0 (Linux; Android 7.1; LG-H920 Build/NRD90M) AppleWebKit/537.18 (KHTML, like Gecko) Chrome/52.0.2390.333 Mobile Safari/600.6",mobile,265000,88
802X5179E59488QJ,Beck,Wise,1-934-666-6850,BeckWise@aol.com,aol.com,7628 Inceptos Road,74933,Savannah,New York,NY,US,US858236725924264562379038,151.115.116.122,151.115.116.122,151.115.116.122,,,Savannah,d3ca57ce02382d78435ea804c37176e3,,,Andrena,Savannah,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Windows NT 10.3; WOW64; en-US) Gecko/20100101 Firefox/51.0,Linux,221000,98
926D1977B31895YQ,Hayley,Haley,1-419-241-0072,Hayley_Haley@pm.com,pm.com,Ap #459-6021 Donec Av.,78256,Lewiston,Maine,ME,US,US1965018656853355384484,222.11.90.2,222.11.90.2,222.11.90.2,,,Lewiston,41af6ff7fc9165c85680f67d8d359994,Apple Inc.,,"Atlantic Broadband Finance, LLC",Lewiston,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_4_2; en-US) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/54.0.1846.301 Safari/600",chrome,159000,97
636M3808T32769OD,Callie,Vaughan,1-482-317-7868,CallieVaughan@aol.com,aol.com,Ap #772-8959 Elit. Ave,95798,Southaven,Mississippi,MS,US,US3377781371467439078189,113.239.196.57,113.239.196.57,113.239.196.57,,,Southaven,7d7d46e42f123e813cf0ca938052d2ff,"Samsung Electronics Co., Ltd.",,Foundation for California Community Colleges,Southaven,Mobile Broadband,"Mozilla/5.0 (Linux; Android 4.4; SAMSUNG GT-I9504V Build/KOT49H) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/52.0.1514.108 Mobile Safari/536.6",mobile,121000,95
902C2708Y72228BD,Zephania,Horn,1-287-893-5454,Zephania8387@hotmail.com,hotmail.com,"605-670 Sed, Av.",41775,Green Bay,Virginia,VA,US,US6433269955619625011395,110.25.65.181,110.25.65.181,110.25.65.181,,,Green Bay,ef3a0790dc09b13f69469d31a0e6fc10,Apple Inc.,,Data Stream Broadband,Green Bay,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_8; like Mac OS X) AppleWebKit/602.47 (KHTML, like Gecko) Chrome/49.0.2596.108 Mobile Safari/602.4",iphone,244000,94
837S4527E96148YU,Scarlet,Ryan,1-268-146-9126,Scarlet_Ryan@hubspot.com,hubspot.com,Ap #991-9357 Sem. Road,24381,Clarksville,New York,NY,US,US72YONG6542844867,241.187.7.249,241.187.7.249,241.187.7.249,,,Clarksville,74c2f290ce16e83dc1fb67738d68e0b2,,,Andrena,Clarksville,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (U; Linux i680 ) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/52.0.1814.192 Safari/602",chrome,128000,84
957T5447Z45302SA,Iola,Sloan,1-871-169-7861,IolaSloan@icloud.com,icloud.com,916-8172 Morbi Rd.,68675,Hilo,Hawaii,HI,US,US5040155226342905810343,225.107.96.255,225.107.96.255,225.107.96.255,,,Hilo,c12117de20a784793677ad0d38ba2627,Apple Inc.,,Dish Wireless LLC,Hilo,Mobile Broadband,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_8_8) Gecko/20100101 Firefox/60.2,Linux,254000,87
919H8644L83117MI,Jelani,Willis,1-779-525-0486,Willis1190@mail.com,mail.com,Ap #758-8590 Nam Ave,57171,Newport News,Virginia,VA,US,US6516216826402641254,175.231.53.229,175.231.53.229,175.231.53.229,,,Newport News,c8f39f1532cb9fe30b13098c04bbf017,,,Data Stream Broadband,Newport News,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Windows; U; Windows NT 6.0; x64) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/47.0.1909.231 Safari/600",chrome,134000,91
402V6119X26794UO,Jacob,Massey,1-885-237-3527,Massey5743@icloud.com,icloud.com,770-825 Nec Road,38327,Davenport,New York,NY,US,US9276024607536125213578255,64.97.235.208,64.97.235.208,64.97.235.208,,,Davenport,842f36fd9f9549aef0b315e94734efa9,Apple Inc.,,Andrena,Davenport,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_2_2; en-US) AppleWebKit/536.30 (KHTML, like Gecko) Chrome/52.0.2554.282 Safari/603",chrome,367000,87
643V9617F30933NE,Sebastian,Franco,1-656-175-5879,Sebastian_Franco@mail.com,mail.com,"Ap #144-3146 Ullamcorper, Av.",36746,Lowell,Massachusetts,MA,US,US663493324739676133644,181.21.111.111,181.21.111.111,181.21.111.111,,,Lowell,f3aae466ee05b20cd878efdd3643e38b,Apple Inc.,,Westfield Gas + Electric,Lowell,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_8) AppleWebKit/603.41 (KHTML, like Gecko) Chrome/51.0.3931.300 Safari/603",windows,115000,84
912Z1308C11122GF,Thane,Maldonado,1-120-673-2339,Maldonado7502@hubspot.com,hubspot.com,961-7818 Vitae Avenue,19668,Fort Smith,Montana,MT,US,US08409773756322811231,197.197.185.232,197.197.185.232,197.197.185.232,,,Fort Smith,e8844146872935d0c54242082389ce95,,,"Matrix Telecom, LLC",Fort Smith,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Linux; Linux i542 ) Gecko/20130401 Firefox/47.8,Linux,244000,86
588X2491L41148KH,Penelope,Sims,1-821-848-9731,PenelopeSims@titan.email,titan.email,5160 Feugiat St.,76757,Gary,West Virginia,WV,US,US73961134123472311547268188,99.25.3.69,99.25.3.69,99.25.3.69,,,Gary,4451c365fbaa48518f3c0ed8e81622e1,Generic,,Cellco Partnership,Gary,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,"Mozilla/5.0 (Linux; U; Android 4.4; IQ4503 Quad Build/KOT49H) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/48.0.1590.380 Mobile Safari/601.9",android,58000,99
623U9603K44971IQ,Nomlanga,Hodges,1-975-364-7273,Hodges2133@gmx.com,gmx.com,Ap #423-5540 Dui St.,67205,Clarksville,New York,NY,US,US7475562377065422,46.189.55.171,46.189.55.171,46.189.55.171,,,Clarksville,06fc4930e3460abd71009eca87c03e67,,,Andrena,Clarksville,Fixed Broadband (Fibre/Cable/DSL),Mozilla / 5.0 (compatible; MSIE 7.0; Windows; Windows NT 10.5; Trident / 4.0),windows,58000,81
593K5310C32127RY,Emi,Hicks,1-714-282-1658,Hicks8416@outlook.com,outlook.com,Ap #399-623 Ante. St.,69593,Lowell,Massachusetts,MA,US,US37739961740836376025702533,229.2.215.41,229.2.215.41,229.2.215.41,,,Lowell,2e20afbb93d192c0ee963c171fa54207,LG Electronics Inc.,,Westfield Gas + Electric,Lowell,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; U; Android 7.1; LG-H930 Build/NRD90M) AppleWebKit/600.3 (KHTML, like Gecko) Chrome/51.0.2650.354 Mobile Safari/534.7",android,370000,97
767W5796V10173GS,Elmo,Guthrie,1-346-525-6733,Elmo_Guthrie@pm.com,pm.com,1949 Eu Road,43646,Sacramento,Pennsylvania,PA,US,US92631027627721870337444787,186.31.205.226,186.31.205.226,186.31.205.226,,,Sacramento,b3a75915daebfed14b1c9281ded72a90,,,New Cingular Wireless LLC,Sacramento,Mobile Broadband,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/47.0.1868.197 Safari/536",chrome,222000,81
833I3797S63231HC,Macon,James,1-444-874-8873,Macon_James@icloud.com,icloud.com,Ap #667-1658 Egestas Road,93102,St. Petersburg,Florida,FL,US,US41368455620665668426213428,134.250.43.13,134.250.43.13,134.250.43.13,,,St. Petersburg,e268c88e687ff646072ab2402aec359d,LG Electronics Inc.,,Global Connection Inc. of America,St. Petersburg,Mobile Broadband,"Mozilla/5.0 (Linux; Android 5.0.1; LG-D333 Build/LRX22G) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/49.0.1866.342 Mobile Safari/600.6",android,83000,88
359Z6120V55575EH,Jillian,Mccarthy,1-647-146-9346,Jillian.Mccarthy@zoho.com,zoho.com,305-3042 Non Ave,67346,Columbus,New Jersey,NJ,US,US6989918589278681847253026,195.20.96.179,195.20.96.179,195.20.96.179,,,Columbus,4482ffbac5f68bd7dd823db2eaaaa13d,LG Electronics Inc.,,Xchange Telecom LLC,Columbus,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,"Mozilla/5.0 (Linux; U; Android 5.0.1; LG-D334 Build/LRX22G) AppleWebKit/533.31 (KHTML, like Gecko) Chrome/50.0.3691.315 Mobile Safari/601.0",mobile,370000,99
885W5047T98979IO,Prescott,Lott,1-524-733-9286,PrescottLott@tutanota.com,tutanota.com,125-8883 Donec St.,34832,Montgomery,Vermont,VT,US,US1900617953398488871802516,91.125.46.200,91.125.46.200,91.125.46.200,,,Montgomery,05c9b7d61213d5325b75b85aab5029c3,,,Shoreham Telephone LLC,Montgomery,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (U; Linux i640 x86_64; en-US) Gecko/20100101 Firefox/66.7,mac,57000,98
715H4799C82911IH,Fletcher,Thompson,1-947-617-0997,Fletcher5242@hubspot.com,hubspot.com,"P.O. Box 629, 8944 Dictum Road",34298,Las Vegas,New Mexico,NM,US,US67IBRE40353921198774,73.48.198.95,73.48.198.95,73.48.198.95,,,Las Vegas,3c6370d69aa91866b8bca6efe2e4da29,,,"Commnet Four Corners, LLC",Las Vegas,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64) Gecko/20100101 Firefox/65.2,Linux,121000,87
722B3719I56718BQ,Marah,Moreno,1-323-496-2284,MarahMoreno@zoho.com,zoho.com,Ap #232-5082 Quisque Road,31967,Huntsville,Alabama,AL,US,US75218571224532542557,199.183.192.196,199.183.192.196,199.183.192.196,,,Huntsville,bac28740178f27d8c065aed8ae4d606d,"Samsung Electronics Co., Ltd.",,Frontier Communications Corporation,Huntsville,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-A800H Build/LMY47X) AppleWebKit/535.38 (KHTML, like Gecko) Chrome/55.0.2410.208 Mobile Safari/602.1",android,169000,91
640F3689M69416OV,Burton,Hogan,1-125-576-4262,Burton.Hogan@hubspot.com,hubspot.com,Ap #913-6940 Feugiat Rd.,16068,Waterbury,Vermont,VT,US,US15218586338338455736454594,117.1.199.72,117.1.199.72,117.1.199.72,,,Waterbury,d0ba4095ccaeeab3fe146a10b690a497,Apple Inc.,,Shoreham Telephone LLC,Waterbury,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_5; like Mac OS X) AppleWebKit/603.3 (KHTML, like Gecko) Chrome/47.0.3327.343 Mobile Safari/533.1",iphone,305000,89
351C3102X14130ZP,Valentine,Keller,1-325-457-5887,Valentine_Keller@hubspot.com,hubspot.com,Ap #461-6839 Purus. Av.,21494,Great Falls,Virginia,VA,US,US734236447839739923,74.130.14.29,74.130.14.29,74.130.14.29,,,Great Falls,437994d3cc892da658b7baf4a58b00c0,"Samsung Electronics Co., Ltd.",,Data Stream Broadband,Great Falls,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Android; Android 6.0.1; SAMSUNG SM-D928F Build/MDB08L) AppleWebKit/602.2 (KHTML, like Gecko) Chrome/55.0.2891.347 Mobile Safari/601.6",android,361000,93
918W4525X90848CY,Linda,Pope,1-845-473-2565,Linda_Pope@outlook.com,outlook.com,1050 Pede Street,63940,Norfolk,Massachusetts,MA,US,US41581453655203,54.46.42.40,54.46.42.40,54.46.42.40,,,Norfolk,6e13adb7f8aa8a2ddb851b012b8d47cd,,,Westfield Gas + Electric,Norfolk,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Windows; Windows NT 10.5; x64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/51.0.3962.171 Safari/600",chrome,93000,84
575M2482C86169YY,Yuri,Kramer,1-371-747-6442,Kramer8266@tutanota.com,tutanota.com,470-2364 Adipiscing St.,73766,Erie,Pennsylvania,PA,US,US6898654890654239604842452,158.73.216.247,158.73.216.247,158.73.216.247,,,Erie,56d14b0e5e95dcdff9bc68a989d4c6c1,Apple Inc.,,New Cingular Wireless LLC,Erie,Mobile Broadband,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_5; en-US) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/50.0.1086.128 Safari/537",windows,278000,84
668D4104J83848VA,Robert,Logan,1-872-747-2786,Robert5288@hotmail.com,hotmail.com,100-2868 Nullam Street,56583,Des Moines,Iowa,IA,US,US1002474276326300,122.191.208.93,122.191.208.93,122.191.208.93,,,Des Moines,4c3aaa62b10ffe0b293e2a99889103d6,Apple Inc.,,Nextlink Internet,Des Moines,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/49.0.3956.216 Safari/603",mac,87000,97
601M6296G38574FX,Aristotle,Singleton,1-541-663-7888,Aristotle_Singleton@pm.com,pm.com,"Ap #430-8432 Elit, Street",56812,Kearney,Missouri,MO,US,US84ZNVR1638135854217838,120.147.241.122,120.147.241.122,120.147.241.122,,,Kearney,466bb22732c183d115fb7f4d4c0df25a,,,Conexon Connect LLC,Kearney,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Linux i582 x86_64) Gecko/20100101 Firefox/50.6,Linux,83000,93
803P5592J36421BO,Libby,Lucas,1-827-265-2528,Libby.Lucas@yandex.com,yandex.com,546-839 Porttitor Rd.,76326,Gaithersburg,Maryland,MD,US,US482162394855602458,183.250.198.154,183.250.198.154,183.250.198.154,,,Gaithersburg,83b84149759c8a72b5881a76c3e628c8,,,"Assist Wireless, LLC",Gaithersburg,Mobile Broadband,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/74.1,Linux,332000,86
286Z4780K37013XK,Xaviera,Bolton,1-925-284-5551,XavieraBolton@gmx.com,gmx.com,597-888 Nisi Av.,25704,New Orleans,Louisiana,LA,US,US88ANMJ24394207313487893118316,16.121.118.216,16.121.118.216,16.121.118.216,,,New Orleans,16e8c4c9f127e1455dfe17a9721749a0,Apple Inc.,,"CoxCom, LLC",New Orleans,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_9; like Mac OS X) AppleWebKit/603.1 (KHTML, like Gecko) Chrome/52.0.2512.122 Mobile Safari/537.4",iphone,76000,87
109J6578D41643XR,Orson,Hester,1-895-356-6931,Orson_Hester@mail.com,mail.com,4928 Molestie Rd.,66323,Bridgeport,Connecticut,CT,US,US843752548672373411,160.161.168.205,160.161.168.205,160.161.168.205,,,Bridgeport,af8bffc195e933f0965d0e366d04ea07,Apple Inc.,,Dish Wireless LLC,Bridgeport,Mobile Broadband,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_9; en-US) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/51.0.3991.379 Safari/534",chrome,337000,94
597N7716Q71927NK,Shelly,Warren,1-997-716-2915,Shelly_Warren@yahoo.com,yahoo.com,Ap #553-8103 Odio Avenue,53668,Boston,Massachusetts,MA,US,US879946212216677832,147.158.163.112,147.158.163.112,147.158.163.112,,,Boston,f90c57ccf8c387b059e9a0303c706c5f,,,Westfield Gas + Electric,Boston,Fixed Broadband (Fibre/Cable/DSL),Mozilla/5.0 (Linux x86_64; en-US) Gecko/20130401 Firefox/71.3,Linux,77000,84
149R7020E26569WB,Karleigh,Singleton,1-201-538-7581,Singleton3026@zoho.com,zoho.com,363-1069 Nullam St.,52637,Birmingham,New Jersey,NJ,US,US4306271544317654467978,229.210.9.235,229.210.9.235,229.210.9.235,,,Birmingham,bf0d29ae4224d6538bb33772c3d62514,,,Xchange Telecom LLC,Birmingham,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,Mozilla/5.0 (U; Linux i655 ) Gecko/20100101 Firefox/47.3,Linux,155000,83
508M6383T36151CY,Ivy,Shelton,1-335-545-7866,Ivy.Shelton@gmail.com,gmail.com,Ap #853-5547 Ut Road,81661,Kapolei,Hawaii,HI,US,US2412973946272625854715,125.6.157.40,125.6.157.40,125.6.157.40,,,Kapolei,0aa1ccbfaab38a1ca888f36dd076a5f1,,,Dish Wireless LLC,Kapolei,Mobile Broadband,Mozilla/5.0 (Linux; U; Linux i583 ) Gecko/20100101 Firefox/63.3,Linux,356000,94
350N7083G52720KC,Dustin,Mathis,1-341-783-5158,Mathis5723@aim.com,aim.com,635-7711 Dignissim. Street,84160,Broken Arrow,Oklahoma,OK,US,US193785711650171662,88.136.86.142,88.136.86.142,88.136.86.142,,,Broken Arrow,d2beb999cc11eb1c5c0d078b1614f1a9,"Samsung Electronics Co., Ltd.",,"Skybeam, LLC",Broken Arrow,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; Android 4.4; SAMSUNG SM-G900FG Build/KOT49H) AppleWebKit/601.37 (KHTML, like Gecko) Chrome/48.0.1661.349 Mobile Safari/602.7",mobile,166000,90
188Y4422G92588GD,Beck,Blair,1-478-314-6815,Beck_Blair@gmx.com,gmx.com,"P.O. Box 415, 6946 Sodales Ave",88189,New Orleans,Louisiana,LA,US,US0817542952328884,80.72.230.149,80.72.230.149,80.72.230.149,,,New Orleans,cfc516c000b4cef0427cee2a3b9f31e7,,,"CoxCom, LLC",New Orleans,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; Linux i672 x86_64; en-US) AppleWebKit/601.44 (KHTML, like Gecko) Chrome/52.0.2931.238 Safari/603",windows,278000,95
803L6524H53648PX,Adena,Harrell,1-466-114-1091,Adena_Harrell@hotmail.com,hotmail.com,4225 Arcu St.,20475,Olathe,Kansas,KS,US,US7182377874941320862,86.196.150.202,86.196.150.202,86.196.150.202,,,Olathe,a476b6e191ec8b72d652a14aec89d88d,Apple Inc.,,"North American Local, LLC",Olathe,Mobile Broadband,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_5_3; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/54.0.2139.374 Mobile Safari/534.3",iphone,108000,90
198B6844I85673MC,Timon,Clay,1-116-231-3534,TimonClay@hubspot.com,hubspot.com,"136-8535 Montes, St.",75709,Akron,New York,NY,US,US801707578905668529,240.249.54.200,240.249.54.200,240.249.54.200,,,Akron,c0c6a01c731efeb77609cb01c12d76a0,Apple Inc.,,Andrena,Akron,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_8; like Mac OS X) AppleWebKit/533.35 (KHTML, like Gecko) Chrome/53.0.1092.128 Mobile Safari/600.9",mobile,373000,99
546X5530X99796OO,Palmer,Schultz,1-832-113-3133,Palmer9173@yahoo.com,yahoo.com,665-5629 Dui Av.,34162,Olympia,Kentucky,KY,US,US50112272753376328261861537,139.30.168.103,139.30.168.103,139.30.168.103,,,Olympia,d9a33a604f06e5172f823afef6c21963,Apple Inc.,,"Sage Telecom Communications, LLC",Olympia,Mobile Broadband,"Mozilla/5.0 (iPad; CPU iPad OS 7_7_9 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2533.290 Mobile Safari/602.8",mobile,312000,86
959Z3203W57227AI,Odysseus,George,1-851-214-6664,Odysseus_George@mail.com,mail.com,Ap #919-300 Nullam Rd.,79249,Idaho Falls,Idaho,ID,US,US451714072544923484,23.36.221.178,23.36.221.178,23.36.221.178,,,Idaho Falls,6088556971efd01f9c5999c398a696b5,,,AT&T Mobility LLC,Idaho Falls,Mobile Broadband,"Mozilla/5.0 (Linux; U; Linux i574 ) AppleWebKit/603.29 (KHTML, like Gecko) Chrome/50.0.3463.251 Safari/600",chrome,227000,86
547F1963B68242BH,Mara,Mcgee,1-913-575-3841,Mara.Mcgee@titan.email,titan.email,"P.O. Box 522, 5727 Vestibulum Av.",96745,Lansing,New York,NY,US,US468768313474183136561,38.16.190.13,38.16.190.13,38.16.190.13,,,Lansing,387f6a5fe0352733b0fa20cbeb1ecd94,HTC Corporation,,Andrena,Lansing,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; Android 5.0.1; HTC Butterfly S 919 Build/LRX22G) AppleWebKit/603.15 (KHTML, like Gecko) Chrome/51.0.2515.349 Mobile Safari/535.8",mobile,167000,87
614T9793R78283UE,Desirae,Jacobs,1-784-455-6852,Desirae.Jacobs@yahoo.com,yahoo.com,"Ap #865-8025 Ut, Av.",54311,Tuscaloosa,Alabama,AL,US,US3996915805787478997,64.198.62.171,64.198.62.171,64.198.62.171,,,Tuscaloosa,bfc5decd6149ad53116f4837faf22b6d,"Samsung Electronics Co., Ltd.",,Frontier Communications Corporation,Tuscaloosa,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Linux; U; Android 4.3.1; Samsung Galaxy S4 Mega GT-I9100 Build/JDQ39) AppleWebKit/536.31 (KHTML, like Gecko) Chrome/49.0.1086.110 Mobile Safari/603.7",mobile,228000,94
923R7894N54902TH,Lacey,Hendrix,1-121-612-0154,Lacey.Hendrix@icloud.com,icloud.com,383-9832 Magna. Avenue,76133,Idaho Falls,Idaho,ID,US,US6882878318833872,205.37.84.212,205.37.84.212,205.37.84.212,,,Idaho Falls,f118690c6066316e731dacca25e8faea,,,AT&T Mobility LLC,Idaho Falls,Mobile Broadband,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/49.0.2155.192 Safari/534",chrome,179000,99
412C8127P41803BY,Larissa,Bryant,1-214-671-3781,LarissaBryant@gmail.com,gmail.com,"P.O. Box 306, 2945 Nisl. Road",42934,Mobile,Alabama,AL,US,US738641567575733685556,233.245.250.102,233.245.250.102,233.245.250.102,,,Mobile,28b7f2db5326c9c3d42f9ddfbbb5f9d8,,,Frontier Communications Corporation,Mobile,Fixed Broadband (Fibre/Cable/DSL),"Mozilla/5.0 (Windows NT 6.2;) AppleWebKit/600.17 (KHTML, like Gecko) Chrome/47.0.1855.297 Safari/600",mac,161000,94
229H2088N61168GX,Kirk,Finch,1-269-281-4888,KirkFinch@gmx.com,gmx.com,Ap #807-2901 Sapien Road,73642,West Valley City,Utah,UT,US,US02971775088726786404,51.189.121.105,51.189.121.105,51.189.121.105,,,West Valley City,cd3021f9040758b8b7cf8336e7e87b91,Apple Inc.,,Cellco Partnership,West Valley City,Fixed Broadband (Fibre/Cable/DSL) or Mobile Broadband,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_6_3; like Mac OS X) AppleWebKit/535.47 (KHTML, like Gecko) Chrome/54.0.2488.118 Mobile Safari/534.8",iphone,104000,84
539K7184U70869MX,Dieter,Price,1-237-696-5106,Dieter.Price@yandex.com,yandex.com,"555-7627 Vulputate, Rd.",45181,Carson City,Michigan,MI,US,US44087463613568453137,82.54.234.29,82.54.234.29,82.54.234.29,,,Carson City,bc75a822e2de0f5fccb86aea1e4a0edb,,,Q Link Wireless LLC,Carson City,Mobile Broadband,Mozilla/5.0 (Windows; Windows NT 10.1; x64; en-US) Gecko/20100101 Firefox/45.1,windows,168000,92
834A5003G18302SB,Shea,Mccarthy,1-765-241-3472,Shea.Mccarthy@aol.com,aol.com,Ap #374-3388 Duis Street,67045,Biloxi,Mississippi,MS,US,US08246974152411416356,47.133.107.93,47.133.107.93,47.133.107.93,,,Biloxi,23ad7309e745a4e29faaa82016fd0a37,Apple Inc.,,Foundation for California Community Colleges,Biloxi,Mobile Broadband,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_1; like Mac OS X) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/51.0.2807.144 Mobile Safari/534.0",iphone,239000,95
